question,generated_answer,retrieved_contexts,golden_answer,Contextual Recall
Do older patients receive adequate stroke care?,"No, older patients do not receive adequate stroke care. According to the provided context, older patients were less likely to receive diagnostic investigations and lifestyle modification advice than younger patients. Specifically, they were less likely to be given advice on weight reduction (12.9% vs 30.2%, p<0.01) and diet (31.7% vs 46.3%, p = 0.02) than younger patients. Additionally, the context states that ""Guidelines need to be adopted to ensure prompt evidence-based stroke care in the outpatient setting,"" implying that current care is insufficient.","['BACKGROUND: National guidelines and government directives have adopted policies \nfor urgent assessment of patients with a transient ischaemic attack or minor \nstroke not admitted to hospital. The risk of recurrent stroke increases \nsubstantially with age, as does the potential benefit of secondary prevention. \nIn order to develop effective strategies for older patients, it is important to \nidentify how stroke care is currently provided for this patient group.\nMETHODS: Between 2004 and 2006, older patients (>75 years) referred to a \nneurovascular clinic were compared with younger patients (< or =75 years). \nSociodemographic details, clinical features, resource use and secondary \nprevention in a neurovascular clinic were collected.', 'p<0.01), as was carotid Doppler imaging (92% vs 77%, p<0.01). There were no \ndifferences in prescribed secondary preventive treatments. Older patients \nexperienced less delay for carotid endarterectomy (49 vs 90 days, p<0.01). \nYounger patients were more likely to be given advice on weight reduction (30.2% \nvs 12.9%, p<0.01) and diet (46.3% vs 31.7%, p = 0.02) than older patients.\nCONCLUSIONS: Older patients were less likely to receive diagnostic \ninvestigations and lifestyle modification advice than younger patients. \nGuidelines need to be adopted to ensure prompt evidence-based stroke care in the \noutpatient setting.', 'OBJECTIVES: To consider whether the Barthel Index alone provides sufficient \ninformation about the long term outcome of stroke.\nDESIGN: Cross sectional follow up study with a structured interview \nquestionnaire and measures of impairment, disability, handicap, and general \nhealth. The scales used were the hospital anxiety and depression scale, mini \nmental state examination, Barthel index, modified Rankin scale, London handicap \nscale, Frenchay activities index, SF36, Nottingham health profile, life \nsatisfaction index, and the caregiver strain index.\nSETTING: South east London.\nSUBJECTS: People, and their identified carers, resident in south east London in \n1989-90 when they had their first in a life-time stroke aged under 75 years.\nINTERVENTIONS: Observational study.']",Older patients were less likely to receive diagnostic investigations and lifestyle modification advice than younger patients. Guidelines need to be adopted to ensure prompt evidence-based stroke care in the outpatient setting.,1.0
30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,"The 30-day mortality for emergency general surgery laparotomies was 12.4% in patients under 70 years and 22% in those over 70 years. The 1-year mortality was 25.15% in patients under 70 years and 38% in those over 70 years. These findings suggest a high rate of mortality, particularly in patients over 70 years, highlighting an area of concern and need for improvement in emergency general surgery laparotomies.","['AIMS: Emergency surgery is associated with poorer outcomes and higher mortality \nwith recent studies suggesting the 30-day mortality to be 14-15%. The aim of \nthis study was to analyse the 30-day mortality, age-related 30-day mortality and \n1-year mortality following emergency laparotomy. We hope this will encourage \nprospective data collection, improvement of care and initiate strategies to \nestablish best practice in this area.\nMETHODS: This was a retrospective study of patients who underwent emergency \nlaparotomy from June 2010 to May 2012. The primary end point of the study was \n30-day mortality, age-related 30-day mortality and 1-year all-cause mortality.\nRESULTS: 477 laparotomies were performed in 446 patients. 57% were aged <70 and', 'RESULTS: 477 laparotomies were performed in 446 patients. 57% were aged <70 and \n43% aged >70 years. 30-day mortality was 12, 4% in those aged <70 years and 22% \nin those >70 years (p < 0.001). 1-year mortality was 25, 15% in those aged under \n70 years and 38% in those aged >70 years (p < 0.001).\nCONCLUSIONS: Emergency laparotomy carries a high rate of mortality, especially \nin those over the age of 70 years, and more needs to be done to improve \noutcomes, particularly in this group. This could involve increasing acute \nsurgical care manpower, early recognition of patients requiring emergency \nsurgery, development of clear management protocols for such patients or perhaps \neven considering centralisation of emergency surgical services to specialist', 'RESULTS: The patients in the GS group were older (median age, 63 vs 53 years; p \n= 0.01). In all, 31 LS patients (65%), as compared with 44 GS patients (36%), \nhad successful laparoscopic treatment (p = 0.001). The operating time was the \nsame (median, 70 min). The proportion of patients with postoperative \ncomplications was similar in the two groups (37% in the GS vs 31% in the LS \ngroup; p = 0.6). The median postoperative hospital stay (3 vs 5 days; p <0.01) \nwas shorter in the LS group. On logistic regression analysis, significant \npredictors of a successful laparoscopic operation included LS group (p <0.01) \nand age (p = 0). Predictors of prolonged length of hospital stay were age (p \n<0.01) and comorbidity score (p <0.01), with LS group status not a significant \nfactor (p = 0.21).']","Emergency laparotomy carries a high rate of mortality, especially in those over the age of 70 years, and more needs to be done to improve outcomes, particularly in this group. This could involve increasing acute surgical care manpower, early recognition of patients requiring emergency surgery, development of clear management protocols for such patients or perhaps even considering centralisation of emergency surgical services to specialist centres with multidisciplinary teams involving emergency surgeons and care of the elderly physicians in hospital and related community outreach services for post-discharge care.",1.0
"Are normally sighted, visually impaired, and blind pedestrians accurate and reliable at making street crossing decisions?","According to the provided context, the answer is partially yes and partially no. 

Normally sighted and visually impaired pedestrians are accurate and reliable in their street crossing decision-making ability when using either vision plus hearing or vision only (P > 0.05). However, under the hearing only condition, all subjects, including normally sighted, visually impaired, and blind pedestrians, were reliable (P > 0.05) but inaccurate with their street crossing decisions (P < 0.05). 

Additionally, blind subjects were the least accurate with their street crossing decisions under the hearing only condition, compared to either the normally sighted (P = 0.018) or visually impaired subjects (P = 0.019). 

Visually impaired pedestrians can make accurate and reliable street crossing decisions like those of normally sighted pedestrians, but blind pedestrians may benefit from training to improve their detection ability and/or interpretation of vehicular gap times under the hearing only condition.","['under each sensory condition.\nRESULTS: We found that normally sighted and visually impaired pedestrians were \naccurate and reliable in their street crossing decision-making ability when \nusing either vision plus hearing or vision only (P > 0.05). Under the hearing \nonly condition, all subjects were reliable (P > 0.05) but inaccurate with their \nstreet crossing decisions (P < 0.05). Compared to either the normally sighted (P \n= 0.018) or visually impaired subjects (P = 0.019), blind subjects were the \nleast accurate with their street crossing decisions under the hearing only \ncondition.\nCONCLUSIONS: Our data suggested that visually impaired pedestrians can make \naccurate and reliable street crossing decisions like those of normally sighted', 'PURPOSE: The purpose of this study is to measure the accuracy and reliability of \nnormally sighted, visually impaired, and blind pedestrians at making street \ncrossing decisions using visual and/or auditory information.\nMETHODS: Using a 5-point rating scale, safety ratings for vehicular gaps of \ndifferent durations were measured along a two-lane street of one-way traffic \nwithout a traffic signal. Safety ratings were collected from 12 normally \nsighted, 10 visually impaired, and 10 blind subjects for eight different gap \ntimes under three sensory conditions: (1) visual plus auditory information, (2) \nvisual information only, and (3) auditory information only. Accuracy and \nreliability in street crossing decision-making were calculated for each subject \nunder each sensory condition.', 'accurate and reliable street crossing decisions like those of normally sighted \npedestrians. When using auditory information only, all subjects significantly \noverestimated the vehicular gap time. Our finding that blind pedestrians \nperformed significantly worse than either the normally sighted or visually \nimpaired subjects under the hearing only condition suggested that they may \nbenefit from training to improve their detection ability and/or interpretation \nof vehicular gap times.']","Our data suggested that visually impaired pedestrians can make accurate and reliable street crossing decisions like those of normally sighted pedestrians. When using auditory information only, all subjects significantly overestimated the vehicular gap time. Our finding that blind pedestrians performed significantly worse than either the normally sighted or visually impaired subjects under the hearing only condition suggested that they may benefit from training to improve their detection ability and/or interpretation of vehicular gap times.",1.0
Is Panton-Valentine leucocidin associated with the pathogenesis of Staphylococcus aureus bacteraemia in the UK?,"No, the provided context suggests that Panton-Valentine leucocidin (PVL) is not significantly associated with the pathogenesis of Staphylococcus aureus bacteraemia in the UK. The study found that only 1.6% of S. aureus isolates from bacteraemic patients were PVL-positive, and all of these were methicillin-susceptible S. aureus (MSSA). The low incidence of PVL-positive S. aureus suggests that PVL-positive S. aureus are of no particular significance as causative agents of S. aureus bacteraemia.","['BACKGROUND: The morbidity and mortality associated with Panton-Valentine \nleucocidin (PVL)-positive Staphylococcus aureus suggest that this toxin is a key \nmarker of disease severity. Nevertheless, the importance of PVL in the \npathogenesis of primary bacteraemia caused by S. aureus is uncertain. We have \ndetermined the prevalence of PVL-encoding genes among isolates of S. aureus from \nbacteraemic patients.\nMETHODS: Consecutive bacteraemia isolates of S. aureus (n=244) from patients \nhospitalized in 25 centres in the UK and Ireland during 2005 were screened for \nPVL and mecA genes. PVL-positive isolates were characterized by toxin gene \nprofiling, PFGE, spa-typing and MIC determinations for a range of \nantimicrobials.', 'profiling, PFGE, spa-typing and MIC determinations for a range of \nantimicrobials.\nRESULTS: Four out of 244 isolates (1.6%) were PVL-positive and susceptible to \noxacillin [methicillin-susceptible S. aureus (MSSA)]. Eighty-eight out of 244 \n(36%) were oxacillin-resistant (methicillin-resistant S. aureus), but none was \nPVL-positive. The four patients (two males: 30 and 33 years; two females: 62 and \n80 years) had infection foci of: skin and soft tissue, unknown, indwelling line, \nand surgical site, and were located at one centre in Wales, one in England and \ntwo in Ireland. One of four PVL-positive isolates was resistant to penicillin \nand fusidic acid, the remainder were susceptible to all antibiotics tested. \nGenotypic analyses showed that the four isolates represented three distinct', 'Genotypic analyses showed that the four isolates represented three distinct \nstrains; the two isolates from Ireland were related.\nCONCLUSIONS: We found that 1.6% of S. aureus (all MSSA) from bacteraemic \npatients were PVL-positive. This low incidence suggests that PVL-positive S. \naureus are of no particular significance as causative agents of S. aureus \nbacteraemia.']",We found that 1.6% of S. aureus (all MSSA) from bacteraemic patients were PVL-positive. This low incidence suggests that PVL-positive S. aureus are of no particular significance as causative agents of S. aureus bacteraemia.,1.0
Standardizing care in medical oncology: are Web-based systems the answer?,"While Web-based systems can play a major role in guiding oncology treatment and standardizing care, their effectiveness is influenced by various factors such as hospital location, clinician roles, experience, autonomy, and perceptions of time, as well as environmental factors like hospital policy, infrastructure, and education. Therefore, Web-based systems are not the sole answer to standardizing care in medical oncology, but rather one component of a multifaceted approach that must also consider the needs and contexts of end-users.","[""BACKGROUND: Medical oncology is embracing information technology to standardize \ncare and improve patient outcomes, with a range of Web-based systems used \ninternationally. The authors' aim was to determine the factors affecting the \nuptake and use of a Web-based protocol system for medical oncology in the \nAustralian setting.\nMETHODS: The authors conducted 50 interviews and observed medical oncology \nphysicians, nurses, and pharmacists in their treatment setting at 6 hospitals in \ndifferent geographic locations.\nRESULTS: The Web-based system plays a major role in guiding oncology treatment \nacross participating sites. However, its use varies according to hospital \nlocation, clinician roles, and experience. A range of issues impact on"", ""location, clinician roles, and experience. A range of issues impact on \nclinicians' attitudes toward and use of the Web-based system. Important factors \nare clinician-specific (eg, their need for autonomy and perceptions of lack of \ntime) or environmental (eg, hospital policy on protocol use, endorsement of the \nsystem, and the availability of appropriate infrastructure, such as sufficient \ncomputers). The level of education received regarding the system was also found \nto be integral to its ongoing use.\nCONCLUSIONS: Although the provision of high-quality evidence-based resources, \nelectronic or otherwise, is essential for standardizing care and improving \npatient outcomes, the authors' findings demonstrate that this alone does not"", ""patient outcomes, the authors' findings demonstrate that this alone does not \nensure uptake. It is important to understand end-users, the environment in which \nthey operate, and the basic infrastructure required to implement such a system. \nImplementation must also be accompanied by continuing education and endorsement \nto ensure both long-term sustainability and use of the system to its full \npotential.\n(c) 2009 American Cancer Society.""]","Although the provision of high-quality evidence-based resources, electronic or otherwise, is essential for standardizing care and improving patient outcomes, the authors' findings demonstrate that this alone does not ensure uptake. It is important to understand end-users, the environment in which they operate, and the basic infrastructure required to implement such a system. Implementation must also be accompanied by continuing education and endorsement to ensure both long-term sustainability and use of the system to its full potential.",1.0
Does obstructive sleep apnea affect aerobic fitness?,"According to the provided context, obstructive sleep apnea (OSA) does not predict a decrease in aerobic fitness as measured by cycle ergometry in a US Air Force population. However, patients with an apnea-hypopnea index of greater than 20 have a statistically significant decrease in aerobic fitness compared to the normal population. Overall, individuals with OSA had increased VO2max when compared to the normalized US Air Force data.","['OBJECTIVES: We sought to determine whether patients with obstructive sleep apnea \n(OSA) had an objective change in aerobic fitness during cycle ergometry compared \nto a normal population. The most accurate test of aerobic fitness is measurement \nof maximum oxygen consumption (VO2max) with cycle ergometry.\nMETHODS: We performed a retrospective cohort analysis (247 patients with OSA) of \nVO2max from annual cycle ergometry tests compared to a large control group \n(normative data from 1.4 million US Air Force tests) in a tertiary care setting.\nRESULTS: Overall, individuals with OSA had increased VO2max when compared to the \nnormalized US Air Force data (p < .001). Patients with an apnea-hypopnea index \nof greater than 20 demonstrated a decreased VO2max as compared to normalized', 'of greater than 20 demonstrated a decreased VO2max as compared to normalized \nvalues (p < .001). No differences in VO2max were observed after either medical \nor surgical therapy for OSA.\nCONCLUSIONS: Overall, in a US Air Force population, OSA does not predict a \ndecrease in aerobic fitness as measured by cycle ergometry. However, patients \nwith an apnea-hypopnea index of greater than 20 have a statistically significant \ndecrease in aerobic fitness compared to the normal population. This study \ndemonstrates the effects of OSA on aerobic fitness. Further correlation of \nfitness testing results with OSA severity and treatment is needed.', 'PURPOSE: The pressures delivered by autotitrating continuous positive airways \npressure (CPAP) devices not only treat obstructive sleep apnoea (OSA) \neffectively but also give potentially interesting physiological information \nabout the forces impinging on the pharynx. In earlier work from this unit, we \nused correlations between autoCPAP pressure and both OSA severity and obesity, \nto construct an algorithm to estimate the fixed CPAP pressure a patient required \nfor subsequent clinical use. We wished to discover if these relationships could \nbe reliably extended to a much more obese group.\nMETHODS: We performed a prospective cohort study in an obese population. \nMeasurements of obesity were made, OSA severity was recorded, and the 95th']","Overall, in a US Air Force population, OSA does not predict a decrease in aerobic fitness as measured by cycle ergometry. However, patients with an apnea-hypopnea index of greater than 20 have a statistically significant decrease in aerobic fitness compared to the normal population. This study demonstrates the effects of OSA on aerobic fitness. Further correlation of fitness testing results with OSA severity and treatment is needed.",1.0
Treatment of contralateral hydrocele in neonatal testicular torsion: Is less more?,"Yes, less is more. The study found that managing contralateral hydrocele in cases of neonatal testicular torsion solely through a scrotal approach is safe and effective, and that inguinal exploration is not necessary. The long-term results demonstrated no additional benefit from an inguinal approach, and the conservative management strategy minimized the potential of contralateral spermatic cord injury in the neonate. After an average 7.5 years of follow-up, none of the patients who presented with a hydrocele developed a clinical hydrocele or hernia.","['OBJECTIVE: Treatment of neonatal testicular torsion has two objectives: salvage \nof the involved testicle (which is rarely achieved) and preservation of the \ncontralateral gonad. The second goal universally involves contralateral \ntesticular scrotal fixation to prevent the future occurrence of contralateral \ntorsion. However, there is controversy with regards to management of a \nsynchronous contralateral hydrocele. It has been our policy not to address the \ncontralateral hydrocele through an inguinal incision to minimize potential \ninjury to the spermatic cord. Our objective in this study was to determine \nwhether the decision to manage a contralateral hydrocele in cases of neonatal \ntesticular torsion solely through a scrotal approach is safe and effective.', 'long-term results demonstrate that such an approach would have brought no \nadditional benefit. In avoiding an inguinal approach we did not subject our \npatients to unnecessary risk of testicular or vasal injury. Contralateral \nhydrocele is commonly seen in cases of neonatal testicular torsion. In our \nexperience this is a condition of minimal clinical significance and does not \nwarrant formal inguinal exploration for treatment. This conservative management \nstrategy minimizes the potential of contralateral spermatic cord injury in the \nneonate. The aims of the study were met.', 'torsed testicles were nonviable. Twenty-two patients were noted to have a \ncontralateral hydrocele at presentation. All hydroceles were opened through a \nscrotal approach at the time of contralateral scrotal fixation. No patient \nunderwent an inguinal exploration to examine for a patent process vaginalis. \nNone of the patients who presented with a hydrocele have developed a clinical \nhydrocele or hernia after an average 7.5 years (range 4.3-11.2) follow-up.\nCONCLUSION: We have demonstrated that approaching a contralateral hydrocele in \ncases of neonatal testicular torsion solely through a scrotal incision is safe \nand effective. Inguinal exploration was not performed in our study and our \nlong-term results demonstrate that such an approach would have brought no']",We have demonstrated that approaching a contralateral hydrocele in cases of neonatal testicular torsion solely through a scrotal incision is safe and effective. Inguinal exploration was not performed in our study and our long-term results demonstrate that such an approach would have brought no additional benefit. In avoiding an inguinal approach we did not subject our patients to unnecessary risk of testicular or vasal injury. Contralateral hydrocele is commonly seen in cases of neonatal testicular torsion. In our experience this is a condition of minimal clinical significance and does not warrant formal inguinal exploration for treatment. This conservative management strategy minimizes the potential of contralateral spermatic cord injury in the neonate. The aims of the study were met.,1.0
BCRABL transcript detection by quantitative real-time PCR : are correlated results possible from homebrew assays?,"Yes, correlated results from homebrew assays are possible for BCRABL transcript detection by quantitative real-time PCR. According to the provided context, a Spearman rank correlation analysis was performed on 22 BCRABL-positive paired results from two different laboratories using different methodologies, and the correlation coefficient (r(s)) was 0.9435 (p < 0.00001), indicating a strong correlation between the results. This suggests that, despite differences in methodologies, correlated results can be achieved if the same positive control cell line and quality control gene are used.","['different.\nRESULTS: The detection of BCRABL-positive results spanned a dynamic range from \n10(0) to 10(5)/100,000 cells. Forty-three samples were negative at both \nfacilities. A Spearman rank correlation analysis was performed for the 22 \nBCRABL-positive paired results. The correlation coefficient, r(s), was 0.9435 (p \n< 0.00001), suggesting a strong correlation of the results. One discordant \nresult was obtained for consecutive samples from one patient with a low BCRABL \ncopy number as a result of a minimal RNA yield at one laboratory.\nCONCLUSIONS: These results suggest that quantitative real-time PCR assays for \nBCRABL detection can be comparable between laboratories despite significant \ndifferences in methodologies if the same positive control cell line and quality', 'BACKGROUND: Quantitative real-time PCR has become the predominant molecular \ntechnique to monitor BCRABL levels in response to treatment in Ph(+) leukemia \npatients. However, without some form of standardized methodology between \nlaboratories, the correlation of results is difficult.\nMETHODS: Using TaqMan-based assays, parallel quantitative real-time PCR analysis \nwas performed on 70 clinical specimens at Vanderbilt University Medical Center \nand Virginia Commonwealth University. While the same positive control cell line \n(K562) and quality control gene (BCR) were used, the RNA isolation technique, \ncDNA synthesis, BCR control cell line, and PCR primer and probe sequences were \ndifferent.\nRESULTS: The detection of BCRABL-positive results spanned a dynamic range from', 'statistically significant manner and that they all predicted PCSM more \naccurately than they predicted BCR (ie, with higher c-index values).\nCONCLUSION: Currently available nomograms used to predict BCR accurately predict \nPCSM and other more clinically relevant endpoints. Moreover, not only do they \nsignificantly predict PCSM, but do so with generally greater accuracy than BCR.']","These results suggest that quantitative real-time PCR assays for BCRABL detection can be comparable between laboratories despite significant differences in methodologies if the same positive control cell line and quality control gene are used. It is imperative that some level of assay standardization be adopted between laboratories, not only for patients who are monitored at different facilities, but also for larger investigative studies in which hematologic, cytogenetic and molecular responses are to be compared.",1.0
Sternal fracture in growing children : A rare and often overlooked fracture?,"Yes, sternal fractures in childhood are rare. According to the study, only 4 children aged 5-14 years with a sternal fracture were treated over a 2-year period, suggesting that this type of fracture is indeed rare in growing children.","['BACKGROUND: Sternal fractures in childhood are rare. The aim of the study was to \ninvestigate the accident mechanism, the detection of radiological and \nsonographical criteria and consideration of associated injuries.\nMETHOD: In the period from January 2010 to December 2012 all inpatients and \noutpatients with sternal fractures were recorded according to the documentation.\nRESULTS: A total of 4 children aged 5-14\xa0years with a sternal fracture were \ntreated in 2\xa0years, 2\xa0children were hospitalized for pain management and 2 \nremained in outpatient care.\nCONCLUSION: Isolated sternal fractures in childhood are often due to typical \nage-related traumatic incidents. Ultrasonography is a useful diagnostic tool for \nfracture detection and radiography is the method of choice for visualization of', 'severity score, and mortality.\nRESULT: Nine hundred thirty-three patients were included, of those 55 (5.89%) \nchildren were obese. The obese children were older than nonobese (P = .001) and \nhad a higher injury severity score (P = .001) and a lower pediatric trauma score \n(P = .00), heart rate (P = .0081), and respiratory rate (P = .000). There were \nno differences between groups with regard to sex, mechanism of injury, and \nsurgical procedures. Obese children were more likely to have rib fractures (P = \n.02) and pelvic injuries (P = .033). There was no significant association \nbetween mortality and obesity (P = .42).\nCONCLUSION: Obesity does not seem to impact the severity of injury, mortality \nrate, types of injury, and procedure outcomes in children. Obese patients are', 'rate, types of injury, and procedure outcomes in children. Obese patients are \nmore likely to have rib and pelvic injuries.']",Isolated sternal fractures in childhood are often due to typical age-related traumatic incidents. Ultrasonography is a useful diagnostic tool for fracture detection and radiography is the method of choice for visualization of the extent of the dislocation.,1.0
Could different follow-up modalities play a role in the diagnosis of asymptomatic endometrial cancer relapses?,"Yes, different follow-up modalities could play a role in the diagnosis of asymptomatic endometrial cancer relapses. According to the context, among asymptomatic patients, the first procedure that led to further examinations was clinical visit alone for 36.4% of patients, imaging for 62.4%, and cytologic examination for 1.2%. This suggests that various follow-up modalities, including clinical visits, imaging, and cytologic examinations, can help detect asymptomatic recurrences.","['examination. Among the asymptomatic patients, the first procedure that led to \nfurther examinations was clinical visit alone for 60 (36.4%) of 165 patients, \nimaging for 103 patients (62.4%), and cytologic examination for 2 patients \n(1.2%). Symptoms at recurrence can predict survival: patients with an \nasymptomatic recurrence had a median survival time from relapse of 35 months \nversus 13 months if they had a symptomatic repetition (P = 0.0001).\nCONCLUSIONS: Follow-up after endometrial cancer treatment varies in Italy. In \nthis retrospective study, women with asymptomatic recurrence have shown a better \nclinical outcome compared with those with symptomatic relapse. The optimal \napproach is actually unknown, and guidelines comparing follow-up protocols have', 'OBJECTIVE: To determine current practice and to assess the value of routine \nfollow-up procedures for endometrial cancer surveillance. To discuss whether \nsuch procedures are feasible and effective to identify asymptomatic recurrences \nand describe the pattern of relapse detected by procedures.\nMETHODS: The records of 282 consecutive women with recurrent endometrial cancer \ntreated from 1986 to 2005 were retrospectively collected in 8 Italian \ninstitutions. Primary disease, clinical history, and recurrence features and \ndata were analyzed.\nRESULTS: Thirty-five (12.4%) of 282 patients had recurrence in vaginal vault, 51 \npatients (18.0%) had recurrence in central pelvis, 14 patients (4.9%) had \nrecurrence in pelvic wall, and 39 patients (13.8%) had recurrence in lymph', 'PURPOSE: Lynch syndrome (hereditary nonpolyposis colorectal cancer; HNPCC) is an \nautosomal-dominant cancer predisposition syndrome that increases risk for \nmultiple cancers, including colon, endometrial, and ovarian cancer. Revised \nBethesda Criteria recommend that patients with two HNPCC-associated cancers \nundergo molecular evaluation to determine whether they have a mismatch repair \n(MMR) defect associated with HNPCC. The purpose of our study was to determine \nthe likelihood of MMR defects (MSH2, MSH6, MLH1) in women with synchronous \nendometrial and ovarian cancer.\nPATIENTS AND METHODS: Between 1989 and 2004, 102 women with synchronous \nendometrial and ovarian cancers were identified; 59 patients had tumor blocks']","Follow-up after endometrial cancer treatment varies in Italy. In this retrospective study, women with asymptomatic recurrence have shown a better clinical outcome compared with those with symptomatic relapse. The optimal approach is actually unknown, and guidelines comparing follow-up protocols have not been established. Prospective cost-effectiveness studies are needed.",0.75
Should HIV-infected patients be screened for silent myocardial ischaemia using gated myocardial perfusion SPECT?,"Yes, but only in specific subpopulations. According to the provided context, screening for silent myocardial ischaemia (SMI) using myocardial SPECT is recommended for male HIV-infected patients older than 52 years with at least two other cardiovascular risk factors (CRFs), as the prevalence of SMI detected by myocardial SPECT reaches 19.2% in this subpopulation, which is about four times more likely to be positive than in the general population.","['PURPOSE: A higher prevalence of cardiovascular risk factors (CRFs) in \nHIV-infected patients, together with chronic infection and treatments, has \nresulted in an increased risk of silent myocardial ischaemia (SMI). The \nobjective of this study was to evaluate whether myocardial SPECT should be used \nfor screening HIV-infected patients with no clinical symptoms of coronary artery \ndisease.\nMETHODS: The prevalence of SMI detected by myocardial SPECT was determined in 94 \nHIV-infected patients with a normal clinical cardiovascular examination in \nrelation to anthropomorphic parameters, CRFs, inflammatory and HIV infection \nstatus, and treatment.\nRESULTS: Coronary artery disease was detected in nine patients (eight with', 'scans were in men older than 52 years with at least two other CRFs. In this \nsubpopulation of 47 patients, the prevalence of SMI detected by myocardial SPECT \nreached 19.2 %.\nCONCLUSION: In male HIV-infected patients older than 52 years and with at least \ntwo other CRFs, screening for SMI using myocardial SPECT was about four times \nmore likely to be positive than in the general population. This may motivate \nphysicians to advise these patients to undergo more systematic screening for SMI \nusing this technique.', 'protocol reduced post-ischemic myocardial dysfunction.\nCONCLUSION: The preconditioning effect (infarct size reduction) appears not to \ndepend on intermittent reperfusion. Thus, the protective mechanism of IP \ndevelops during the initial ischemia that precedes the index ischemia. \nAlternatively, low-flow ischemia is effectively a sort of reperfusion.']","In male HIV-infected patients older than 52 years and with at least two other CRFs, screening for SMI using myocardial SPECT was about four times more likely to be positive than in the general population. This may motivate physicians to advise these patients to undergo more systematic screening for SMI using this technique.",1.0
Do we need imaging to diagnose appendicitis in children?,"No, clinical assessment is the key to diagnose appendicitis in children. However, selective use of imaging, mainly abdominal ultrasonography, may be necessary in certain cases, such as in girls older than 10 years, to avoid unnecessary appendectomies. According to the study, 82.4% of appendectomies were performed without preoperative imaging, while 17.6% underwent selective imaging studies.","['BACKGROUND: To evaluate the role of clinical assessment with selective use of \nimaging studies in the management of suspected acute appendicitis in children.\nPATIENTS AND METHODS: Medical records of children referred to Emergency Room in \n2010 for suspected appendicitis were retrospectively reviewed. Diagnostic \ninvestigations divided by age and sex were related to pathological findings. \nNegative appendectomy and complication rates were calculated.\nRESULTS: 923 children needed surgical assessment : In 75.7% of them surgical \nindication was excluded and 24.3% were admitted to surgical ward for \nobservation. Appendectomy was eventually performed in 137 patients (61.9%), \n82.4% of them without any preoperative imaging while 17.6% underwent selective', '82.4% of them without any preoperative imaging while 17.6% underwent selective \nstudies, mainly abdominal ultrasonography (14.6%). Imaging was requested twice \nas frequently in not operated admitted children (39.3%) than in the operated \nones (17.5%, P < 0.001). Overall complicated appendicitis rate (peritonitis and \nabscess) resulted 26.4% and negative appendectomy rate 8.8%. Females older than \n10 years presented histologically not-confirmed appendicitis in 22.2% of cases, \nwhile the younger ones presented more frequently complicated appendicitis \n(29.3%).\nCONCLUSIONS: Clinical assessment is the key to diagnose appendicitis. \nNevertheless, in girls older than 10 years, selected use of imaging should be \nimplemented to avoid unnecessary appendectomies. Imaging of choice in equivocal', 'implemented to avoid unnecessary appendectomies. Imaging of choice in equivocal \ncases should be ultrasonography.']","Clinical assessment is the key to diagnose appendicitis. Nevertheless, in girls older than 10 years, selected use of imaging should be implemented to avoid unnecessary appendectomies. Imaging of choice in equivocal cases should be ultrasonography.",1.0
