question,generated_answer,retrieved_contexts,golden_answer,Faithfulness
Is a patient's self-reported health-related quality of life a prognostic factor for survival in non-small-cell lung cancer patients?,"Yes, according to the first document (id='c46b042f-770d-5737-ab9c-53d8a07961df'), a patient's self-reported health-related quality of life (HRQOL) is an independent prognostic factor for survival in non-small cell lung cancer (NSCLC) patients. The study used the EORTC QLQ-C30 and the EORTC Lung Cancer module (QLQ-LC13) to measure HRQOL in 391 advanced NSCLC patients and found that HRQOL provided independent prognostic information for survival through multivariate Cox regression analysis.","[""BACKGROUND: The aim of this prognostic factor analysis was to investigate if a \npatient's self-reported health-related quality of life (HRQOL) provided \nindependent prognostic information for survival in non-small cell lung cancer \n(NSCLC) patients.\nPATIENTS AND METHODS: Pretreatment HRQOL was measured in 391 advanced NSCLC \npatients using the EORTC QLQ-C30 and the EORTC Lung Cancer module (QLQ-LC13). \nThe Cox proportional hazards regression model was used for both univariate and \nmultivariate analyses of survival. In addition, a bootstrap validation technique \nwas used to assess the stability of the outcomes.\nRESULTS: The final multivariate Cox regression model retained four parameters as \nindependent prognostic factors for survival: male gender with a hazard ratio"", ""BACKGROUND: As part of a prospective study on quality of life in newly diagnosed \nlung cancer patients an investigation was carried out to examine whether there \nwere differences among patients' quality of life scores and their socioeconomic \nstatus.\nMETHODS: Quality of life was measured at two points in time (baseline and three \nmonths after initial treatment) using three standard instruments; the Nottingham \nHealth Profile (NHP), the European Organization for Research and Cancer \nTreatment Quality of Life Questionnaire (EORTC QLQ-C30) and its lung cancer \nsupplement (QLQ-LC13). Socioeconomic status for each individual patient was \nderived using Carstairs and Morris Deprivation Category ranging from 1 (least \ndeprived) to 7 (most deprived) on the basis of the postcode sector of their"", 'BACKGROUND AND PURPOSE: The present analysis compares two palliative treatment \nconcepts for lung cancer in terms of overall survival.\nPATIENTS AND METHODS: Survival data from 207\xa0patients were used in a \nretrospective analysis. All patients received palliative treatment comprising \neither 25\xa0Gy applied in 5\xa0fractions or 50\xa0Gy in 20\xa0fractions. A subgroup \nanalysis was performed to compare patients with a good-fair vs. poor overall \ncondition.\nRESULTS: Median survival times were 21\xa0weeks (range\xa06-26\xa0weeks) for patients \ntreated with 25\xa0Gy in 5\xa0fractions and 23\xa0weeks (range\xa014.5-31.5\xa0weeks) for \npatients treated with 50\xa0Gy in 20\xa0fractions (95\u2009% confidence interval, CI; \np\u2009=\u20090.334). For patients with a good-fair overall condition, median survival']",The results suggest that patients' self-reported HRQOL provide independent prognostic information for survival. This finding supports the collection of such data in routine clinical practice.,1.0
30-Day and 1-year mortality in emergency general surgery laparotomies: an area of concern and need for improvement?,"The 30-day mortality for emergency general surgery laparotomies was 12.4% in patients under 70 years and 22% in those over 70 years. The 1-year mortality was 25.15% in patients under 70 years and 38% in those over 70 years. These findings suggest a high rate of mortality, particularly in patients over 70 years, highlighting an area of concern and need for improvement in emergency general surgery laparotomies.","['AIMS: Emergency surgery is associated with poorer outcomes and higher mortality \nwith recent studies suggesting the 30-day mortality to be 14-15%. The aim of \nthis study was to analyse the 30-day mortality, age-related 30-day mortality and \n1-year mortality following emergency laparotomy. We hope this will encourage \nprospective data collection, improvement of care and initiate strategies to \nestablish best practice in this area.\nMETHODS: This was a retrospective study of patients who underwent emergency \nlaparotomy from June 2010 to May 2012. The primary end point of the study was \n30-day mortality, age-related 30-day mortality and 1-year all-cause mortality.\nRESULTS: 477 laparotomies were performed in 446 patients. 57% were aged <70 and', 'RESULTS: 477 laparotomies were performed in 446 patients. 57% were aged <70 and \n43% aged >70 years. 30-day mortality was 12, 4% in those aged <70 years and 22% \nin those >70 years (p < 0.001). 1-year mortality was 25, 15% in those aged under \n70 years and 38% in those aged >70 years (p < 0.001).\nCONCLUSIONS: Emergency laparotomy carries a high rate of mortality, especially \nin those over the age of 70 years, and more needs to be done to improve \noutcomes, particularly in this group. This could involve increasing acute \nsurgical care manpower, early recognition of patients requiring emergency \nsurgery, development of clear management protocols for such patients or perhaps \neven considering centralisation of emergency surgical services to specialist', 'RESULTS: The patients in the GS group were older (median age, 63 vs 53 years; p \n= 0.01). In all, 31 LS patients (65%), as compared with 44 GS patients (36%), \nhad successful laparoscopic treatment (p = 0.001). The operating time was the \nsame (median, 70 min). The proportion of patients with postoperative \ncomplications was similar in the two groups (37% in the GS vs 31% in the LS \ngroup; p = 0.6). The median postoperative hospital stay (3 vs 5 days; p <0.01) \nwas shorter in the LS group. On logistic regression analysis, significant \npredictors of a successful laparoscopic operation included LS group (p <0.01) \nand age (p = 0). Predictors of prolonged length of hospital stay were age (p \n<0.01) and comorbidity score (p <0.01), with LS group status not a significant \nfactor (p = 0.21).']","Emergency laparotomy carries a high rate of mortality, especially in those over the age of 70 years, and more needs to be done to improve outcomes, particularly in this group. This could involve increasing acute surgical care manpower, early recognition of patients requiring emergency surgery, development of clear management protocols for such patients or perhaps even considering centralisation of emergency surgical services to specialist centres with multidisciplinary teams involving emergency surgeons and care of the elderly physicians in hospital and related community outreach services for post-discharge care.",1.0
Does rugby headgear prevent concussion?,"According to the provided context, most players (62%) believe that rugby headgear can prevent concussion, but the coaches are less convinced (33%). However, there is no definitive evidence provided in the context to confirm whether rugby headgear actually prevents concussion. The context only reports the attitudes and beliefs of players and coaches regarding the use of headgear, rather than presenting empirical evidence of its effectiveness in preventing concussion.","['belief that headgear offers protection against concussion, only a minority \nreported wearing headgear (27%) and few (24%) felt that its use should be made \nmandatory. Common reasons for not wearing headgear were ""its use is not \nmandatory"", ""it is uncomfortable"", and ""it costs too much"".\nCONCLUSION: Although most players in the study believe that rugby headgear may \nprevent concussion, only a minority reported wearing it. Coaches tended to be \nless convinced than the players that rugby headgear can prevent concussion.', ""OBJECTIVES: To examine the attitudes of players and coaches to the use of \nprotective headgear, particularly with respect to the prevention of concussion.\nMETHODS: A questionnaire designed to assess attitudes to headgear was \nadministered to 63 players from four different Canadian teams, each representing \na different level of play (high school, university, community club, national). \nIn addition, coaches from all four levels were questioned about team policies \nand their personal opinions about the use of headgear to prevent concussion.\nRESULTS: Although the players tended to believe that the headgear could prevent \nconcussion (62%), the coaches were less convinced (33%). Despite the players' \nbelief that headgear offers protection against concussion, only a minority"", 'preexisting neurologic condition. Subjects were administered a baseline survey \nin the ED and were given standardized discharge instructions for concussion by \nthe treating physician. Telephone follow-up surveys were conducted at 2 weeks \nand 4 weeks after ED visit.\nRESULTS: A total of 150 patients were enrolled. The majority (67%) of \nconcussions were sports related. Among sports-related concussions, soccer (30%), \nfootball (11%), lacrosse (8%), and basketball (8%) injuries were most common. \nMore than one third (39%) reported return to play (RTP) on the day of the \ninjury. Physician follow-up was equivalent for sport and nonsport concussions (2 \nweeks, 58%; 4 weeks, 64%). Sports-related concussion patients were more likely']","Although most players in the study believe that rugby headgear may prevent concussion, only a minority reported wearing it. Coaches tended to be less convinced than the players that rugby headgear can prevent concussion.",1.0
Are tuberculosis patients adherent to prescribed treatments in China?,"No, a large proportion of newly confirmed tuberculosis patients in China could not adhere to standard TB treatment. According to the study, patients who missed at least one dose of drugs or one follow-up re-examination during the treatment course were deemed as non-adherent, and poor treatment supervision and heavy financial burden might be the main causes for non-adherence.","[""BACKGROUND: Tuberculosis (TB) patients face numerous difficulties adhering to \nthe long-term, rigorous TB treatment regimen. Findings on TB patients' treatment \nadherence vary across existing literature and official reports. The present \nstudy attempted to determine the actual treatment adherence of new TB patients \nand to identify factors leading to non-adherence.\nMETHODS: A prospective cohort of 481 newly confirmed TB patients from three \ncounties in western China were enrolled during June to December 2012 and was \nfollowed until June 2013. Patients who missed at least one dose of drugs or one \nfollow-up re-examination during the treatment course were deemed as \nnon-adherent. Influencing factors were identified using a logistic regression \nmodel."", ""CONCLUSIONS: Despite recent efforts, a large proportion of newly confirmed TB \npatients could not adhere to standard TB treatment, and patients' lost to \nfollow-up was still a serious problem. Poor treatment supervision and heavy \nfinancial burden might be the main causes for non-adherence. More needs to be \ndone to enhance treatment supervision policies and financial supports to both \nhealth providers and TB patients."", 'SETTING: Medical units at an academic tertiary referral hospital in Southern \nIndia.\nOBJECTIVE: To investigate the impact of solid culture on Löwenstein-Jensen \nmedium on clinical decision making.\nDESIGN: In a retrospective review of 150 culture-positive and 150 \nculture-negative consecutively sampled tuberculosis (TB) suspects, treatment \ndecisions were analysed at presentation, after the availability of culture \ndetection results and after the availability of drug susceptibility testing \n(DST) culture results.\nRESULTS: A total of 124 (82.7%) culture-positive patients and 35 (23.3%) \nculture-negative patients started anti-tuberculosis treatment prior to receiving \ntheir culture results; 101 patients (33.7%) returned for their results; two']","Despite recent efforts, a large proportion of newly confirmed TB patients could not adhere to standard TB treatment, and patients' lost to follow-up was still a serious problem. Poor treatment supervision and heavy financial burden might be the main causes for non-adherence. More needs to be done to enhance treatment supervision policies and financial supports to both health providers and TB patients.",1.0
"Are normally sighted, visually impaired, and blind pedestrians accurate and reliable at making street crossing decisions?","According to the provided context, the answer is partially yes and partially no. 

Normally sighted and visually impaired pedestrians are accurate and reliable in their street crossing decision-making ability when using either vision plus hearing or vision only (P > 0.05). However, under the hearing only condition, all subjects, including normally sighted, visually impaired, and blind pedestrians, were reliable (P > 0.05) but inaccurate with their street crossing decisions (P < 0.05). 

Additionally, blind subjects were the least accurate with their street crossing decisions under the hearing only condition, compared to either the normally sighted (P = 0.018) or visually impaired subjects (P = 0.019). 

Visually impaired pedestrians can make accurate and reliable street crossing decisions like those of normally sighted pedestrians, but blind pedestrians may benefit from training to improve their detection ability and/or interpretation of vehicular gap times under the hearing only condition.","['under each sensory condition.\nRESULTS: We found that normally sighted and visually impaired pedestrians were \naccurate and reliable in their street crossing decision-making ability when \nusing either vision plus hearing or vision only (P > 0.05). Under the hearing \nonly condition, all subjects were reliable (P > 0.05) but inaccurate with their \nstreet crossing decisions (P < 0.05). Compared to either the normally sighted (P \n= 0.018) or visually impaired subjects (P = 0.019), blind subjects were the \nleast accurate with their street crossing decisions under the hearing only \ncondition.\nCONCLUSIONS: Our data suggested that visually impaired pedestrians can make \naccurate and reliable street crossing decisions like those of normally sighted', 'PURPOSE: The purpose of this study is to measure the accuracy and reliability of \nnormally sighted, visually impaired, and blind pedestrians at making street \ncrossing decisions using visual and/or auditory information.\nMETHODS: Using a 5-point rating scale, safety ratings for vehicular gaps of \ndifferent durations were measured along a two-lane street of one-way traffic \nwithout a traffic signal. Safety ratings were collected from 12 normally \nsighted, 10 visually impaired, and 10 blind subjects for eight different gap \ntimes under three sensory conditions: (1) visual plus auditory information, (2) \nvisual information only, and (3) auditory information only. Accuracy and \nreliability in street crossing decision-making were calculated for each subject \nunder each sensory condition.', 'accurate and reliable street crossing decisions like those of normally sighted \npedestrians. When using auditory information only, all subjects significantly \noverestimated the vehicular gap time. Our finding that blind pedestrians \nperformed significantly worse than either the normally sighted or visually \nimpaired subjects under the hearing only condition suggested that they may \nbenefit from training to improve their detection ability and/or interpretation \nof vehicular gap times.']","Our data suggested that visually impaired pedestrians can make accurate and reliable street crossing decisions like those of normally sighted pedestrians. When using auditory information only, all subjects significantly overestimated the vehicular gap time. Our finding that blind pedestrians performed significantly worse than either the normally sighted or visually impaired subjects under the hearing only condition suggested that they may benefit from training to improve their detection ability and/or interpretation of vehicular gap times.",1.0
Vaginal dose assessment in image-guided brachytherapy for cervical cancer: Can we really rely on dose-point evaluation?,"The provided context does not directly answer the question of whether dose-point evaluation can be relied upon for vaginal dose assessment in image-guided brachytherapy for cervical cancer. However, it does provide some insights into the use of posterior-inferior border of the pubic symphysis (PIBS) points in reporting vaginal doses.

According to the context, the study found significant differences in doses delivered to the PIBS points between patients with vaginal involvement and those without. The mean prescribed doses at PIBS -2, PIBS, and PIBS +2 were 2.23 ± 1.4, 6.39 ± 6.6, and 31.85 ± 36.06 Gy, respectively. The variations between delivered and prescribed doses at PIBS points were not significant, suggesting that dose-point evaluation may be a reliable method.

However, the context also notes that the delivered dose at the International Commission on Radiation Units and Measurements rectovaginal point was decreased by 1.43 ± 2.49 Gy from the planned dose, which may indicate some limitations in dose-point evaluation.

In conclusion, while the context provides some evidence to support the use of dose-point evaluation for vaginal dose assessment, it is not a direct answer to the question, and more research may be needed to fully address the reliability of this method.","['PURPOSE: Although dose-volume parameters in image-guided brachytherapy have \nbecome a standard, the use of posterior-inferior border of the pubic symphysis \n(PIBS) points has been recently proposed in the reporting of vaginal doses. The \naim was to evaluate their pertinence.\nMETHODS AND MATERIALS: Nineteen patients who received image-guided brachytherapy \nafter concurrent radiochemotherapy were included. Per treatment, CT scans were \nperformed at Days 2 and 3, with reporting of the initial dwell positions and \ntimes. Doses delivered to the PIBS points were evaluated on each plan, \nconsidering that they were representative of one-third of the treatment. The \nmovements of the applicator according to the PIBS point were analysed.', 'PURPOSE: Using high-quality CT-on-rails imaging, the daily motion of the \nprostate bed clinical target volume (PB-CTV) based on consensus Radiation \nTherapy Oncology Group (RTOG) definitions (instead of surgical clips/fiducials) \nwas studied. It was assessed whether PB motion in the superior portion of PB-CTV \n(SUP-CTV) differed from the inferior PB-CTV (INF-CTV).\nPATIENTS AND METHODS: Eight pT2-3bN0-1M0 patients underwent postprostatectomy \nintensity-modulated radiotherapy, totaling 300\xa0fractions. INF-CTV and SUP-CTV \nwere defined as PB-CTV located inferior and superior to the superior border of \nthe pubic symphysis, respectively. Daily pretreatment CT-on-rails images were \ncompared to the planning CT in the left-right (LR), superoinferior (SI), and', 'movements of the applicator according to the PIBS point were analysed.\nRESULTS: Mean prescribed doses at PIBS -2, PIBS, PIBS +2 were, respectively, \n2.23 ± 1.4, 6.39 ± 6.6, and 31.85 ± 36.06 Gy. Significant differences were \nobserved between the 5 patients with vaginal involvement and the remaining 14 at \nthe level of PIBS +2 and PIBS: +47.60 Gy and +7.46 Gy, respectively (p = 0.023 \nand 0.03). The variations between delivered and prescribed doses at PIBS points \nwere not significant. However, at International commission on radiation units \nand measurements rectovaginal point, the delivered dose was decreased by 1.43 ± \n2.49 Gy from the planned dose (p = 0.019). The delivered doses at the four \npoints were strongly correlated with the prescribed doses with R(2) ranging from']",The doses evaluated at PIBS points are not impacted by intrafractional movements. PIBS and PIBS +2 dose points allow distinguishing the plans of patients with vaginal infiltration. Further studies are needed to correlate these parameters with vaginal morbidity.,1.0
Is Panton-Valentine leucocidin associated with the pathogenesis of Staphylococcus aureus bacteraemia in the UK?,"No, the provided context suggests that Panton-Valentine leucocidin (PVL) is not significantly associated with the pathogenesis of Staphylococcus aureus bacteraemia in the UK. The study found that only 1.6% of S. aureus isolates from bacteraemic patients were PVL-positive, and all of these were methicillin-susceptible S. aureus (MSSA). The low incidence of PVL-positive S. aureus suggests that PVL-positive S. aureus are of no particular significance as causative agents of S. aureus bacteraemia.","['BACKGROUND: The morbidity and mortality associated with Panton-Valentine \nleucocidin (PVL)-positive Staphylococcus aureus suggest that this toxin is a key \nmarker of disease severity. Nevertheless, the importance of PVL in the \npathogenesis of primary bacteraemia caused by S. aureus is uncertain. We have \ndetermined the prevalence of PVL-encoding genes among isolates of S. aureus from \nbacteraemic patients.\nMETHODS: Consecutive bacteraemia isolates of S. aureus (n=244) from patients \nhospitalized in 25 centres in the UK and Ireland during 2005 were screened for \nPVL and mecA genes. PVL-positive isolates were characterized by toxin gene \nprofiling, PFGE, spa-typing and MIC determinations for a range of \nantimicrobials.', 'profiling, PFGE, spa-typing and MIC determinations for a range of \nantimicrobials.\nRESULTS: Four out of 244 isolates (1.6%) were PVL-positive and susceptible to \noxacillin [methicillin-susceptible S. aureus (MSSA)]. Eighty-eight out of 244 \n(36%) were oxacillin-resistant (methicillin-resistant S. aureus), but none was \nPVL-positive. The four patients (two males: 30 and 33 years; two females: 62 and \n80 years) had infection foci of: skin and soft tissue, unknown, indwelling line, \nand surgical site, and were located at one centre in Wales, one in England and \ntwo in Ireland. One of four PVL-positive isolates was resistant to penicillin \nand fusidic acid, the remainder were susceptible to all antibiotics tested. \nGenotypic analyses showed that the four isolates represented three distinct', 'Genotypic analyses showed that the four isolates represented three distinct \nstrains; the two isolates from Ireland were related.\nCONCLUSIONS: We found that 1.6% of S. aureus (all MSSA) from bacteraemic \npatients were PVL-positive. This low incidence suggests that PVL-positive S. \naureus are of no particular significance as causative agents of S. aureus \nbacteraemia.']",We found that 1.6% of S. aureus (all MSSA) from bacteraemic patients were PVL-positive. This low incidence suggests that PVL-positive S. aureus are of no particular significance as causative agents of S. aureus bacteraemia.,1.0
Standardizing care in medical oncology: are Web-based systems the answer?,"While Web-based systems can play a major role in guiding oncology treatment and standardizing care, their effectiveness is influenced by various factors such as hospital location, clinician roles, experience, autonomy, and perceptions of time, as well as environmental factors like hospital policy, infrastructure, and education. Therefore, Web-based systems are not the sole answer to standardizing care in medical oncology, but rather one component of a multifaceted approach that must also consider the needs and contexts of end-users.","[""BACKGROUND: Medical oncology is embracing information technology to standardize \ncare and improve patient outcomes, with a range of Web-based systems used \ninternationally. The authors' aim was to determine the factors affecting the \nuptake and use of a Web-based protocol system for medical oncology in the \nAustralian setting.\nMETHODS: The authors conducted 50 interviews and observed medical oncology \nphysicians, nurses, and pharmacists in their treatment setting at 6 hospitals in \ndifferent geographic locations.\nRESULTS: The Web-based system plays a major role in guiding oncology treatment \nacross participating sites. However, its use varies according to hospital \nlocation, clinician roles, and experience. A range of issues impact on"", ""location, clinician roles, and experience. A range of issues impact on \nclinicians' attitudes toward and use of the Web-based system. Important factors \nare clinician-specific (eg, their need for autonomy and perceptions of lack of \ntime) or environmental (eg, hospital policy on protocol use, endorsement of the \nsystem, and the availability of appropriate infrastructure, such as sufficient \ncomputers). The level of education received regarding the system was also found \nto be integral to its ongoing use.\nCONCLUSIONS: Although the provision of high-quality evidence-based resources, \nelectronic or otherwise, is essential for standardizing care and improving \npatient outcomes, the authors' findings demonstrate that this alone does not"", ""patient outcomes, the authors' findings demonstrate that this alone does not \nensure uptake. It is important to understand end-users, the environment in which \nthey operate, and the basic infrastructure required to implement such a system. \nImplementation must also be accompanied by continuing education and endorsement \nto ensure both long-term sustainability and use of the system to its full \npotential.\n(c) 2009 American Cancer Society.""]","Although the provision of high-quality evidence-based resources, electronic or otherwise, is essential for standardizing care and improving patient outcomes, the authors' findings demonstrate that this alone does not ensure uptake. It is important to understand end-users, the environment in which they operate, and the basic infrastructure required to implement such a system. Implementation must also be accompanied by continuing education and endorsement to ensure both long-term sustainability and use of the system to its full potential.",1.0
Health care for immigrants in Europe: is there still consensus among country experts about principles of good practice?,"Yes, there is a broad consensus among experts across Europe about the major principles of good practice that need to be implemented for health care for immigrants. However, some disagreement remains both within and between countries on specific factors, such as prioritising cultural differences and consistent governance of health care services for immigrants.","['health care and prevention. Although local political debate, level of \nimmigration and the nature of local health care systems influenced the selection \nand rating of factors within each country, there was a broad European consensus \non most factors. Yet, discordance remained both within countries, e.g. on the \nneed for prioritising cultural differences, and between countries, e.g. on the \nneed for more consistent governance of health care services for immigrants.\nCONCLUSIONS: Experts across Europe asserted the right to culturally sensitive \nhealth care for all immigrants. There is a broad consensus among experts about \nthe major principles of good practice that need to be implemented across Europe. \nHowever, there also is some disagreement both within and between countries on', 'BACKGROUND: European Member States are facing a challenge to provide accessible \nand effective health care services for immigrants. It remains unclear how best \nto achieve this and what characterises good practice in increasingly \nmulticultural societies across Europe. This study assessed the views and values \nof professionals working in different health care contexts and in different \nEuropean countries as to what constitutes good practice in health care for \nimmigrants.\nMETHODS: A total of 134 experts in 16 EU Member States participated in a \nthree-round Delphi process. The experts represented four different fields: \nacademia, Non-Governmental Organisations, policy-making and health care \npractice. For each country, the process aimed to produce a national consensus', 'practice. For each country, the process aimed to produce a national consensus \nlist of the most important factors characterising good practice in health care \nfor migrants.\nRESULTS: The scoring procedures resulted in 10 to 16 factors being identified as \nthe most important for each participating country. All 186 factors were \naggregated into 9 themes: (1) easy and equal access to health care, (2) \nempowerment of migrants, (3) culturally sensitive health care services, (4) \nquality of care, (5) patient/health care provider communication, (6) respect \ntowards migrants, (7) networking in and outside health services, (8) targeted \noutreach activities, and (9) availability of data about specificities in migrant \nhealth care and prevention. Although local political debate, level of']","Experts across Europe asserted the right to culturally sensitive health care for all immigrants. There is a broad consensus among experts about the major principles of good practice that need to be implemented across Europe. However, there also is some disagreement both within and between countries on specific issues that require further research and debate.",1.0
Does obstructive sleep apnea affect aerobic fitness?,"According to the provided context, obstructive sleep apnea (OSA) does not predict a decrease in aerobic fitness as measured by cycle ergometry in a US Air Force population. However, patients with an apnea-hypopnea index of greater than 20 have a statistically significant decrease in aerobic fitness compared to the normal population. Overall, individuals with OSA had increased VO2max when compared to the normalized US Air Force data.","['OBJECTIVES: We sought to determine whether patients with obstructive sleep apnea \n(OSA) had an objective change in aerobic fitness during cycle ergometry compared \nto a normal population. The most accurate test of aerobic fitness is measurement \nof maximum oxygen consumption (VO2max) with cycle ergometry.\nMETHODS: We performed a retrospective cohort analysis (247 patients with OSA) of \nVO2max from annual cycle ergometry tests compared to a large control group \n(normative data from 1.4 million US Air Force tests) in a tertiary care setting.\nRESULTS: Overall, individuals with OSA had increased VO2max when compared to the \nnormalized US Air Force data (p < .001). Patients with an apnea-hypopnea index \nof greater than 20 demonstrated a decreased VO2max as compared to normalized', 'of greater than 20 demonstrated a decreased VO2max as compared to normalized \nvalues (p < .001). No differences in VO2max were observed after either medical \nor surgical therapy for OSA.\nCONCLUSIONS: Overall, in a US Air Force population, OSA does not predict a \ndecrease in aerobic fitness as measured by cycle ergometry. However, patients \nwith an apnea-hypopnea index of greater than 20 have a statistically significant \ndecrease in aerobic fitness compared to the normal population. This study \ndemonstrates the effects of OSA on aerobic fitness. Further correlation of \nfitness testing results with OSA severity and treatment is needed.', 'PURPOSE: The pressures delivered by autotitrating continuous positive airways \npressure (CPAP) devices not only treat obstructive sleep apnoea (OSA) \neffectively but also give potentially interesting physiological information \nabout the forces impinging on the pharynx. In earlier work from this unit, we \nused correlations between autoCPAP pressure and both OSA severity and obesity, \nto construct an algorithm to estimate the fixed CPAP pressure a patient required \nfor subsequent clinical use. We wished to discover if these relationships could \nbe reliably extended to a much more obese group.\nMETHODS: We performed a prospective cohort study in an obese population. \nMeasurements of obesity were made, OSA severity was recorded, and the 95th']","Overall, in a US Air Force population, OSA does not predict a decrease in aerobic fitness as measured by cycle ergometry. However, patients with an apnea-hypopnea index of greater than 20 have a statistically significant decrease in aerobic fitness compared to the normal population. This study demonstrates the effects of OSA on aerobic fitness. Further correlation of fitness testing results with OSA severity and treatment is needed.",1.0
Treatment of contralateral hydrocele in neonatal testicular torsion: Is less more?,"Yes, less is more. The study found that managing contralateral hydrocele in cases of neonatal testicular torsion solely through a scrotal approach is safe and effective, and that inguinal exploration is not necessary. The long-term results demonstrated no additional benefit from an inguinal approach, and the conservative management strategy minimized the potential of contralateral spermatic cord injury in the neonate. After an average 7.5 years of follow-up, none of the patients who presented with a hydrocele developed a clinical hydrocele or hernia.","['OBJECTIVE: Treatment of neonatal testicular torsion has two objectives: salvage \nof the involved testicle (which is rarely achieved) and preservation of the \ncontralateral gonad. The second goal universally involves contralateral \ntesticular scrotal fixation to prevent the future occurrence of contralateral \ntorsion. However, there is controversy with regards to management of a \nsynchronous contralateral hydrocele. It has been our policy not to address the \ncontralateral hydrocele through an inguinal incision to minimize potential \ninjury to the spermatic cord. Our objective in this study was to determine \nwhether the decision to manage a contralateral hydrocele in cases of neonatal \ntesticular torsion solely through a scrotal approach is safe and effective.', 'long-term results demonstrate that such an approach would have brought no \nadditional benefit. In avoiding an inguinal approach we did not subject our \npatients to unnecessary risk of testicular or vasal injury. Contralateral \nhydrocele is commonly seen in cases of neonatal testicular torsion. In our \nexperience this is a condition of minimal clinical significance and does not \nwarrant formal inguinal exploration for treatment. This conservative management \nstrategy minimizes the potential of contralateral spermatic cord injury in the \nneonate. The aims of the study were met.', 'torsed testicles were nonviable. Twenty-two patients were noted to have a \ncontralateral hydrocele at presentation. All hydroceles were opened through a \nscrotal approach at the time of contralateral scrotal fixation. No patient \nunderwent an inguinal exploration to examine for a patent process vaginalis. \nNone of the patients who presented with a hydrocele have developed a clinical \nhydrocele or hernia after an average 7.5 years (range 4.3-11.2) follow-up.\nCONCLUSION: We have demonstrated that approaching a contralateral hydrocele in \ncases of neonatal testicular torsion solely through a scrotal incision is safe \nand effective. Inguinal exploration was not performed in our study and our \nlong-term results demonstrate that such an approach would have brought no']",We have demonstrated that approaching a contralateral hydrocele in cases of neonatal testicular torsion solely through a scrotal incision is safe and effective. Inguinal exploration was not performed in our study and our long-term results demonstrate that such an approach would have brought no additional benefit. In avoiding an inguinal approach we did not subject our patients to unnecessary risk of testicular or vasal injury. Contralateral hydrocele is commonly seen in cases of neonatal testicular torsion. In our experience this is a condition of minimal clinical significance and does not warrant formal inguinal exploration for treatment. This conservative management strategy minimizes the potential of contralateral spermatic cord injury in the neonate. The aims of the study were met.,1.0
BCRABL transcript detection by quantitative real-time PCR : are correlated results possible from homebrew assays?,"Yes, correlated results from homebrew assays are possible for BCRABL transcript detection by quantitative real-time PCR. According to the provided context, a Spearman rank correlation analysis was performed on 22 BCRABL-positive paired results from two different laboratories using different methodologies, and the correlation coefficient (r(s)) was 0.9435 (p < 0.00001), indicating a strong correlation between the results. This suggests that, despite differences in methodologies, correlated results can be achieved if the same positive control cell line and quality control gene are used.","['different.\nRESULTS: The detection of BCRABL-positive results spanned a dynamic range from \n10(0) to 10(5)/100,000 cells. Forty-three samples were negative at both \nfacilities. A Spearman rank correlation analysis was performed for the 22 \nBCRABL-positive paired results. The correlation coefficient, r(s), was 0.9435 (p \n< 0.00001), suggesting a strong correlation of the results. One discordant \nresult was obtained for consecutive samples from one patient with a low BCRABL \ncopy number as a result of a minimal RNA yield at one laboratory.\nCONCLUSIONS: These results suggest that quantitative real-time PCR assays for \nBCRABL detection can be comparable between laboratories despite significant \ndifferences in methodologies if the same positive control cell line and quality', 'BACKGROUND: Quantitative real-time PCR has become the predominant molecular \ntechnique to monitor BCRABL levels in response to treatment in Ph(+) leukemia \npatients. However, without some form of standardized methodology between \nlaboratories, the correlation of results is difficult.\nMETHODS: Using TaqMan-based assays, parallel quantitative real-time PCR analysis \nwas performed on 70 clinical specimens at Vanderbilt University Medical Center \nand Virginia Commonwealth University. While the same positive control cell line \n(K562) and quality control gene (BCR) were used, the RNA isolation technique, \ncDNA synthesis, BCR control cell line, and PCR primer and probe sequences were \ndifferent.\nRESULTS: The detection of BCRABL-positive results spanned a dynamic range from', 'statistically significant manner and that they all predicted PCSM more \naccurately than they predicted BCR (ie, with higher c-index values).\nCONCLUSION: Currently available nomograms used to predict BCR accurately predict \nPCSM and other more clinically relevant endpoints. Moreover, not only do they \nsignificantly predict PCSM, but do so with generally greater accuracy than BCR.']","These results suggest that quantitative real-time PCR assays for BCRABL detection can be comparable between laboratories despite significant differences in methodologies if the same positive control cell line and quality control gene are used. It is imperative that some level of assay standardization be adopted between laboratories, not only for patients who are monitored at different facilities, but also for larger investigative studies in which hematologic, cytogenetic and molecular responses are to be compared.",1.0
